2459924.571527778 A   4.7232722193E+05  -0.1002413
2459924.572222222 A   4.7232118258E+05  -0.1010820
2459924.572916667 A   4.7231509289E+05  -0.1019197
2459924.573611111 A   4.7230895302E+05  -0.1027543
2459924.574305556 A   4.7230276318E+05  -0.1035858
2459924.575000000 A   4.7229652354E+05  -0.1044142
2459924.575694445 A   4.7229023429E+05  -0.1052395
2459924.576388889 A   4.7228389562E+05  -0.1060617
2459924.577083333 A   4.7227750772E+05  -0.1068808
2459924.577777778 A   4.7227107077E+05  -0.1076967
2459924.578472222 A   4.7226458496E+05  -0.1085094
2459924.579166667 A   4.7225805049E+05  -0.1093189
2459924.579861111 A   4.7225146755E+05  -0.1101253
2459924.580555555 A   4.7224483633E+05  -0.1109284
2459924.581250000 A   4.7223815701E+05  -0.1117283
2459924.581944444 A   4.7223142981E+05  -0.1125249
2459924.582638889 A   4.7222465490E+05  -0.1133184
2459924.583333333 A   4.7221783249E+05  -0.1141085
2459924.584027778 A   4.7221096278E+05  -0.1148954
2459924.584722222 A   4.7220404595E+05  -0.1156789
2459924.585416667 A   4.7219708221E+05  -0.1164592
2459924.586111111 A   4.7219007176E+05  -0.1172361
2459924.586805556 Am  4.7218301480E+05  -0.1180097
2459924.587500000 Am  4.7217591152E+05  -0.1187799
2459924.588194444 Am  4.7216876214E+05  -0.1195468
2459924.588888889 Am  4.7216156684E+05  -0.1203103
2459924.589583333 Am  4.7215432584E+05  -0.1210704
2459924.590277778 Am  4.7214703934E+05  -0.1218271
2459924.590972222 Am  4.7213970754E+05  -0.1225804
2459924.591666667 Am  4.7213233065E+05  -0.1233303
2459924.592361111  m  4.7212490887E+05  -0.1240767
2459924.593055556  m  4.7211744241E+05  -0.1248197
2459924.593750000  m  4.7210993149E+05  -0.1255592
2459924.594444444  m  4.7210237630E+05  -0.1262952
2459924.595138889  m  4.7209477706E+05  -0.1270277
2459924.595833333  m  4.7208713397E+05  -0.1277567
2459924.596527778  m  4.7207944725E+05  -0.1284822
2459924.597222222  m  4.7207171711E+05  -0.1292041
2459924.597916667  r  4.7206394376E+05  -0.1299226
2459924.598611111  m  4.7205612742E+05  -0.1306374
2459924.599305556  m  4.7204826830E+05  -0.1313487
2459924.600000000  m  4.7204036661E+05  -0.1320564
2459924.600694444  m  4.7203242257E+05  -0.1327605
2459924.601388889  m  4.7202443640E+05  -0.1334609
2459924.602083333  m  4.7201640831E+05  -0.1341578
2459924.602777778  m  4.7200833851E+05  -0.1348510
2459924.603472222  m  4.7200022724E+05  -0.1355406
2459924.604166667  m  4.7199207470E+05  -0.1362265
2459924.604861111  m  4.7198388112E+05  -0.1369088
2459924.605555556  m  4.7197564672E+05  -0.1375874
2459924.606250000  m  4.7196737172E+05  -0.1382623
2459924.606944445  m  4.7195905633E+05  -0.1389334
2459924.607638889  m  4.7195070079E+05  -0.1396009
2459924.608333333  m  4.7194230532E+05  -0.1402646
2459924.609027778  m  4.7193387014E+05  -0.1409246
2459924.609722222  m  4.7192539548E+05  -0.1415808
2459924.610416667  m  4.7191688155E+05  -0.1422333
2459924.611111111  m  4.7190832860E+05  -0.1428820
2459924.611805555  m  4.7189973683E+05  -0.1435269
2459924.612500000  m  4.7189110650E+05  -0.1441680
2459924.613194444  m  4.7188243781E+05  -0.1448053
2459924.613888889  m  4.7187373100E+05  -0.1454388
2459924.614583333  m  4.7186498630E+05  -0.1460684
2459924.615277778  m  4.7185620394E+05  -0.1466942
2459924.615972222  m  4.7184738415E+05  -0.1473161
2459924.616666667  m  4.7183852716E+05  -0.1479342
2459924.617361111  m  4.7182963320E+05  -0.1485484
2459924.618055556  m  4.7182070252E+05  -0.1491587
2459924.618750000  m  4.7181173533E+05  -0.1497651
2459924.619444444  m  4.7180273188E+05  -0.1503676
2459924.620138889  m  4.7179369239E+05  -0.1509662
2459924.620833333  m  4.7178461712E+05  -0.1515609
2459924.621527778  m  4.7177550628E+05  -0.1521516
2459924.622222222  m  4.7176636012E+05  -0.1527383
2459924.622916667  m  4.7175717888E+05  -0.1533211
2459924.623611111  m  4.7174796279E+05  -0.1538999
2459924.624305556  m  4.7173871210E+05  -0.1544748
2459924.625000000  m  4.7172942703E+05  -0.1550456
2459924.625694444  m  4.7172010784E+05  -0.1556125
2459924.626388889  m  4.7171075476E+05  -0.1561753
2459924.627083333  m  4.7170136803E+05  -0.1567341
2459924.627777778  m  4.7169194790E+05  -0.1572889
2459924.628472222  m  4.7168249460E+05  -0.1578396
2459924.629166667  m  4.7167300838E+05  -0.1583863
2459924.629861111  m  4.7166348949E+05  -0.1589289
2459924.630555556  m  4.7165393816E+05  -0.1594675
2459924.631250000  m  4.7164435465E+05  -0.1600019
2459924.631944444  m  4.7163473919E+05  -0.1605323
2459924.632638889  m  4.7162509203E+05  -0.1610586
2459924.633333333  m  4.7161541343E+05  -0.1615807
2459924.634027778  m  4.7160570362E+05  -0.1620988
2459924.634722222  m  4.7159596285E+05  -0.1626127
2459924.635416667  m  4.7158619138E+05  -0.1631225
2459924.636111111  m  4.7157638944E+05  -0.1636281
2459924.636805556  m  4.7156655729E+05  -0.1641296
2459924.637500000  m  4.7155669519E+05  -0.1646269
2459924.638194445  m  4.7154680337E+05  -0.1651200
2459924.638888889  m  4.7153688208E+05  -0.1656089
2459924.639583333  m  4.7152693160E+05  -0.1660937
2459924.640277778  m  4.7151695215E+05  -0.1665743
2459924.640972222  m  4.7150694399E+05  -0.1670506
2459924.641666667  m  4.7149690739E+05  -0.1675227
2459924.642361111  m  4.7148684258E+05  -0.1679907
2459924.643055555  m  4.7147674983E+05  -0.1684543
2459924.643750000  m  4.7146662939E+05  -0.1689138
2459924.644444444  m  4.7145648151E+05  -0.1693689
2459924.645138889  m  4.7144630645E+05  -0.1698199
2459924.645833333  m  4.7143610446E+05  -0.1702665
2459924.646527778  m  4.7142587581E+05  -0.1707089
2459924.647222222  m  4.7141562074E+05  -0.1711470
2459924.647916667  m  4.7140533952E+05  -0.1715808
2459924.648611111  m  4.7139503239E+05  -0.1720103
2459924.649305556  m  4.7138469964E+05  -0.1724355
2459924.650000000  m  4.7137434149E+05  -0.1728564
2459924.650694444  m  4.7136395823E+05  -0.1732730
2459924.651388889  m  4.7135355010E+05  -0.1736852
2459924.652083333  m  4.7134311737E+05  -0.1740931
2459924.652777778  m  4.7133266030E+05  -0.1744967
2459924.653472222  m  4.7132217914E+05  -0.1748959
2459924.654166667  m  4.7131167417E+05  -0.1752907
2459924.654861111  m  4.7130114563E+05  -0.1756812
2459924.655555556  m  4.7129059381E+05  -0.1760673
2459924.656250000  m  4.7128001894E+05  -0.1764491
2459924.656944444  m  4.7126942131E+05  -0.1768264
2459924.657638889  m  4.7125880116E+05  -0.1771994
2459924.658333333  m  4.7124815878E+05  -0.1775679
2459924.659027778  m  4.7123749441E+05  -0.1779321
2459924.659722222  m  4.7122680833E+05  -0.1782918
2459924.660416667  m  4.7121610080E+05  -0.1786472
2459924.661111111  m  4.7120537208E+05  -0.1789980
2459924.661805556  m  4.7119462245E+05  -0.1793445
2459924.662500000  m  4.7118385216E+05  -0.1796865
2459924.663194444  m  4.7117306148E+05  -0.1800241
2459924.663888889  m  4.7116225069E+05  -0.1803572
2459924.664583333  m  4.7115142004E+05  -0.1806859
2459924.665277778  m  4.7114056981E+05  -0.1810101
2459924.665972222  m  4.7112970026E+05  -0.1813299
2459924.666666667  m  4.7111881165E+05  -0.1816451
2459924.667361111  m  4.7110790428E+05  -0.1819559
2459924.668055556  m  4.7109697838E+05  -0.1822622
2459924.668750000  m  4.7108603425E+05  -0.1825640
2459924.669444445  m  4.7107507215E+05  -0.1828613
2459924.670138889  m  4.7106409234E+05  -0.1831541
2459924.670833333  m  4.7105309510E+05  -0.1834424
2459924.671527778  m  4.7104208070E+05  -0.1837262
2459924.672222222  m  4.7103104940E+05  -0.1840055
2459924.672916667  m  4.7102000149E+05  -0.1842802
2459924.673611111  m  4.7100893723E+05  -0.1845505
